business,product_name,variant,category,price,canonical_item,size_base_unit,unit_type,unit_price,size
My Sasun,Sasun Whole Crayfish,8oz,Dried Produce,8.99,Crayfish,226.796,weight,0.0396,
My Sasun,Sasun Whole Crayfish,16oz,Dried Produce,15.99,Crayfish,453.592,weight,0.0353,
My Sasun,Sasun Ground Ogbono | 8oz,Default Title,Ogbono seeds,8.99,Ogbono,226.796,weight,0.0396,
My Sasun,Golden Harvest Parboiled Rice | 25lbs,Default Title,Rice,25.99,Rice,11339.8,weight,0.0023,
My Sasun,Spicity Crayfish Seasoning Powder 10g | Pack of 5,Default Title,seasonings,3.99,Crayfish,10.0,weight,0.399,
My Sasun,Peak Milk Holland | 2500g,Default Title,,54.99,Peak Evaporated Milk,2500.0,weight,0.022,
My Sasun,Sasun Plantain Chips |4oz,Sweet / Shelf-stable (ambient),Snacks,6.99,Plantain Chips,113.398,weight,0.0616,
My Sasun,Sasun Plantain Chips |2oz,Ripe,Snacks,3.99,Plantain Chips,56.699,weight,0.0704,
My Sasun,Sasun Plantain Chips |2oz,Sweet,Snacks,4.99,Plantain Chips,56.699,weight,0.088,
My Sasun,Sasun Plantain Chips |2oz,Hot & Sweet,Snacks,4.99,Plantain Chips,56.699,weight,0.088,
My Sasun,Oloye Dried Peeled Beans | 2lb,Default Title,beans,10.99,Beans,907.184,weight,0.0121,
My Sasun,Aani Golden Sella Basmati Rice | 5kg,Default Title,rice,35.99,Rice,5000.0,weight,0.0072,
My Sasun,Nestle Milo | 1.4kg,Default Title,Beverages,23.99,Milo,1400.0,weight,0.0171,
My Sasun,Affordable Foods Palm Oil | 10L,Default Title,Palm oil,59.99,Palm Oil,10000.0,volume,0.006,
My Sasun,Ayoola Rice Flour | Tuwo Tuo {4lb},Default Title,Rice flour,9.99,Rice Flour,1814.368,weight,0.0055,
My Sasun,Crunchie Sweet Plantain Chips 2.5oz,Default Title,,1.99,Plantain Chips,70.87375,weight,0.0281,
My Sasun,Ayoola Poundo Yam Flour 1lb,Default Title,,2.99,Poundo Yam Flour,453.592,weight,0.0066,
My Sasun,Nestle Milo | 400g,Default Title,Beverages,11.99,Milo,400.0,weight,0.03,
My Sasun,Omni Red Palm Oil | 2L,Default Title,Oil,15.99,Palm Oil,2000.0,volume,0.008,
My Sasun,Sasun Pounded Yam Flour - Iyan,3lbs,Flour,11.99,Yam Flour (Elubo),1360.7759999999998,weight,0.0088,
My Sasun,Sasun Pounded Yam Flour - Iyan,5lbs,Flour,14.99,Yam Flour (Elubo),2267.96,weight,0.0066,
My Sasun,Sasun Bukka Palm Oil (Locally Made & Scented)  | 3L,Default Title,Oils,24.99,Palm Oil,3000.0,volume,0.0083,
My Sasun,Sasun Local Ofada Rice,3lbs,Grains,14.99,Rice,1360.7759999999998,weight,0.011,
My Sasun,Sasun Local Ofada Rice,5lbs,Grains,21.99,Rice,2267.96,weight,0.0097,
My Sasun,Sasun Local Ofada Rice,10lbs,Grains,39.99,Rice,4535.92,weight,0.0088,
My Sasun,Ayoola Poundo Yam Flour | 10lbs,Default Title,,29.99,Poundo Yam Flour,4535.92,weight,0.0066,
My Sasun,Ayoola Poundo Yam Flour | 4lbs,Default Title,,14.99,Poundo Yam Flour,1814.368,weight,0.0083,
My Sasun,Banga Red Palm Oil | 2L,Default Title,Oil,14.99,Palm Oil,2000.0,volume,0.0075,
My Sasun,Okomu Banga Red Palm Oil | 4L,Default Title,Oil,27.99,Palm Oil,4000.0,volume,0.007,
