business,product_name,variant,category,price
My Sasun,Sasun Whole Crayfish,8oz,Dried Produce,8.99
My Sasun,Sasun Whole Crayfish,16oz,Dried Produce,15.99
My Sasun,Sasun Ground Ogbono | 8oz,Default Title,Ogbono seeds,8.99
My Sasun,Golden Harvest Parboiled Rice | 25lbs,Default Title,Rice,25.99
My Sasun,Nora Spice for Fried Rice,Default Title,Spices,3.99
My Sasun,"Fresh Locust Beans,  Iru | 6oz",Default Title,Vegetables,7.99
My Sasun,Spicity Crayfish Seasoning Powder 10g | Pack of 5,Default Title,seasonings,3.99
My Sasun,Peak Milk Holland | 2500g,Default Title,,54.99
My Sasun,Sasun Plantain Chips |4oz,Sweet / Shelf-stable (ambient),Snacks,6.99
My Sasun,Sasun Plantain Chips |2oz,Ripe,Snacks,3.99
My Sasun,Sasun Plantain Chips |2oz,Sweet,Snacks,4.99
My Sasun,Sasun Plantain Chips |2oz,Hot & Sweet,Snacks,4.99
My Sasun,Ayoola Rice Flour | Tuwo Tuo {2lb) EXP,Default Title,Rice flour,0.0
My Sasun,Sunripe Red Kidney Beans (EXP),Default Title,Red Kidney Beans,0.0
My Sasun,"Sasun Ground Locust Beans, Iru, Dawadawa | 8oz",Default Title,Cooking Ingredients,7.99
My Sasun,Oloye Dried Peeled Beans | 2lb,Default Title,beans,10.99
My Sasun,Aani Golden Sella Basmati Rice | 5kg,Default Title,rice,35.99
My Sasun,Nestle Milo | 1.4kg,Default Title,Beverages,23.99
My Sasun,Affordable Foods Palm Oil | 10L,Default Title,Palm oil,59.99
My Sasun,Crunchie Snacks Green Plantain Chips | Box of 24,Default Title,,41.99
My Sasun,Ayoola Rice Flour | Tuwo Tuo {4lb},Default Title,Rice flour,9.99
My Sasun,Crunchie Sweet Plantain Chips 2.5oz,Default Title,,1.99
My Sasun,Crunchie Sweet Plantain Chips | Box of 24,Default Title,,39.99
My Sasun,Ayoola Poundo Yam Flour 1lb,Default Title,,2.99
My Sasun,Nestle Milo | 400g,Default Title,Beverages,11.99
My Sasun,Omni Red Palm Oil | 2L,Default Title,Oil,15.99
My Sasun,Sasun Pounded Yam Flour - Iyan,3lbs,Flour,11.99
My Sasun,Sasun Pounded Yam Flour - Iyan,5lbs,Flour,14.99
My Sasun,Sasun Bukka Palm Oil (Locally Made & Scented)  | 3L,Default Title,Oils,24.99
My Sasun,Sasun Local Ofada Rice,3lbs,Grains,14.99
My Sasun,Sasun Local Ofada Rice,5lbs,Grains,21.99
My Sasun,Sasun Local Ofada Rice,10lbs,Grains,39.99
My Sasun,Maggie Crayfish | Shrimp Flavor,Default Title,Seasoning,8.99
My Sasun,Ayoola Poundo Yam Flour | 10lbs,Default Title,,29.99
My Sasun,Ayoola Poundo Yam Flour | 4lbs,Default Title,,14.99
My Sasun,Crunchie Green Plantain Chips | Box of 24,Default Title,,39.99
My Sasun,Banga Red Palm Oil | 2L,Default Title,Oil,14.99
My Sasun,Indomie Chicken Noodles,Default Title,noodles,31.99
My Sasun,Sasun Semi Bleached Palm Oil | Stew Oil,Default Title,Oil,8.99
My Sasun,Okomu Banga Red Palm Oil | 4L,Default Title,Oil,27.99
My Sasun,Ola Ola Yam Flour Elubo | 5lbs,Default Title,Flour,23.99
My Sasun,Crunchie Green Plantain Chips 2.5oz,Default Title,,1.99
My Sasun,Frozen Peanut Butter Spinach Stew with Steamed Rice,Default Title,Cooking food,9.99
