business,product_name,size,price
Wazobia Market,Beta Value Ijebu Garri,10lbs,9.39
Wazobia Market,Omni Red Palm Oil,2L,14.08
Wazobia Market,Nigeria Taste Poundo Yam,1.5kg,4.78
Wazobia Market,Nigeria Taste Poundo Yam,4kg,5.78
Wazobia Market,Iyan Ado Poundo Yam,2lb,8.98
Wazobia Market,Ayoola Poundo Yam,10lb,18.27
Wazobia Market,Assy Yam Flour Elubo,2lb,2.26
Wazobia Market,Oloye Yam Flour Elubo,10lb,2.47
Wazobia Market,Nigeria Taste Yam Flour,910g,8.77
Wazobia Market,Assy Ground Crayfish,0.20lb,2.59
Wazobia Market,Assy Whole Crayfish,0.10lb,3.47
Wazobia Market,Obiji Ground Egusi,8oz,4.57
Wazobia Market,Obiji Ground Egusi,1lb,4.83
Wazobia Market,Bonne Bouche Norwegian Stockfish,12oz,12.76
Wazobia Market,Choice Tropical Ground Ogbono,4oz,2.68
Wazobia Market,Choice Tropical Ground Ogbono,0.25lb,4.15
Wazobia Market,Obji Ground Ogbono,4oz,5.36
Wazobia Market,Ola Ola Spicy Platain Chips,3oz,13.7
Wazobia Market,Mr.John's Ripe Plantain Chips,150g,10.5
Wazobia Market,Goya Sweet Plantain Chips,113g,1.21
Wazobia Market,Goya Plantain Chips Lime,5oz,1.31
Wazobia Market,Goya Plantain Chips Hot and Spicy,5oz,3.62
Wazobia Market,Lees Yellow Bean,1kg,1
Wazobia Market,Bush Best Baked Beans,16oz,2.1
Wazobia Market,Benny Gold Peel Bean,1kg,8.45
Wazobia Market,Benny Gold Oloyin Bean,1kg,3.69
Wazobia Market,Waz Honey/Oloyin Beans,50lbs,177.75
Wazobia Market,Assy Brown Bean,2lbs,3.65
Wazobia Market,Obiji Brown Bean,3.5lbs,4.57
Wazobia Market,Nigerian Taste Brown Bean,9lbs,2.26
Wazobia Market,Nigeria Taste Sweet Beans,4lbs,2.26
Wazobia Market,Oloye Blackeyed Peal Bean,10lbs,53.35
Wazobia Market,Nigeria Taste Black Eyed Bean,4kg,7.25
Wazobia Market,MM Parboiled Rice ,25lbs,90.89
Wazobia Market,Mama Lycha Jasmine Rice,4.4lb,9.59
Wazobia Market,Goya Brown Rice,2lbs,4.15
Wazobia Market,Goya Aged Basmatti Rice,5lbs,4.67
Wazobia Market,Comet Rice Long Grns,25lbs,19.46
Wazobia Market,Classic Grain Rice,50lb,10.49
Wazobia Market,Classic Grain Rice,25lbs,23.09
Wazobia Market,Peak Evaporated Milk,4410g,3.47
Wazobia Market,Peak Dry Whole Milk Powder,2.5kg,54.55
Wazobia Market,Nestle Milo south Africa,400g,8.77
Wazobia Market,Indonesia Indomie Noodles Chicken Curry Box,2400g,29.77
Wazobia Market,Indonesia Indomie Noodles Chicken 30pk Pack,2100g,25.88
Wazobia Market,Indonesia Indomie Noodles Chicken Flav Box,70g,29.77
Wazobia Market,Indonesia Indomie Noodles Chicken Curry Single,80g,0.89
Wazobia Market,Nestle Milo,1.8kg,8.03
Wazobia Market,Ghana Pride Zomi Palm Oil,1L,7.61
Wazobia Market,Ghana Taste Zomi Palm Oil,1L,9.71
Wazobia Market,Ghana Taste Zomi Palm Oil,2L,17.51
Wazobia Market,Nigeria Taste Yellow Garri,4kg,21.89
Wazobia Market,Assy Ghana Garri,4lbs,4.95
Wazobia Market,Assy Ijebu Garri,20lb,18.79
Wazobia Market,Nigeria Taste Ijebu Garri,1.5kg,7.88
Wazobia Market,Obiji White Garri,3lbs,5.09
